general-only,survey-response,race,district,full-name,last-name,dob,residence,party,jurisdiction,web,social-fb,social-tw,headshot,education,background,a1,a2,a3,a4,a5,a6,a7,a8,a9,a10,a11,a12,q1,q2,q3,q4,q5,q6,q7,q8,q9,q10,q11,q12,sn1,sn2,sn3,sn4,sn5,sn6,sn7,sn8,sn9,sn10,sn11,sn12
,YES,Representative in Congress,7,John Moser,Moser,07/19/1985,Baltimore,Democratic,Baltimore City,http://www.johnmoserforcongress.com,electjohnmoser/,electjohnmoser,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/296249/4299807/179-df63a9abb86fe4bec6a06486fa807a6b_4dP2OT5g_400x400.jpg,"Eastern Technical High School, 2003 Associate's Degree in Networking Technologies, CCBCMD","IT Administration and IT Security Engineer. Worked at Social Security Administration as an IT Security Analyst, became an IT Security Engineer, moved forward from there. I obtained a Project Management certification and use that knowledge as I can, but have not been able to force a career change.","The President has no executive capacity. He has weakened the United States not simply through his policies, but through his conduct: big businesses and other nations see the President as a joke, someone to be ignored, whose public rhetoric has no real impact. The market staggers around due to uncertainty about his outbursts and bad policies rather than the integrity of American enterprise. The Administration has weakened our social safety nets such as HUD and SNAP, has gutted Obama policies simply because they were Obama policies, and has created situations where children and families are put at risk by policy and then dangled those threats in front of Congress as negotiating leverage, as if they were holding hostages. This has impacted our economy and has impacted good, hard-working families. The President has practically destroyed the USDA. His Administration removed the major function of the USDA dedicated to Rural America support programs, the very people he promised to help. His trade policies will reduce the wealth of working Americans, resulting in less purchasing and, contrary to his talk about helping truckers, reducing the amount of shipping and thus the availability of jobs for truckers. The Trump Administration lacks the professional capacity to handle the job to which it is tasked, and has harmed and will continue to harm our Nation, our Nation's enterprise, and the good hard-working Americans depending on our National policies.","I intend to repeal and replace the Tax Cuts and Jobs Act. The Act created enormous deficit, acted in great haste, complicated tax policy, and has disproportionate impact on states with higher taxes--which, oddly enough for a Republican effort, means the TCJA discourages strong and independent State government and instead seeks State dependence on the Federal government. Worst of all, the TCJA uses Chained-CPI-U to adjust tax brackets after 2016. C-CPI-U rises more-slowly than inflation and wage, and so pushes the poor and middle-class up into higher tax brackets over time. The Administration suggested this will create $500 billion of new revenue over the next 10 years: no increases on the wealthy in the top bracket, and move the less-wealthy up toward that top bracket to raise their taxes. All of this will continue to weaken consumer buying power, first hurting families, then our enterprises, and our States and Local governments who will be deprived of tax revenues by the loss of taxable corporate and personal income.","The National Debt is a great concern. Economists are uncertain what identifies when debt is a concern: it's not as simple as a magic Debt-to-GDP or Debt-per-Capita threshold. We stand at over 100% Debt-to-GDP now, and 60% is considered prudent. The rate of debt growth raises the biggest concern. If we are so dependent on more and more debt, then we will have terrible problems when other Nations suddenly lose confidence in our credit and refuse to lend. A lower Debt-to-GDP may not be a reliable technical indicator of economic health, but it does show responsibility and maintains faith in our credit. It also reduces the interest we pay on that debt, now over $200 billion. Repealing the TCJA and implementing economic policies which have little fiscal impact would place us back on the 2016 deficit level. Strengthening our economy, streamlining operational efficiency, and attempting to increase our debt more-slowly than inflation and GDP growth would allow us to keep borrowing while our Debt-to-GDP ratio shrinks, demonstrating strong control over our fiscal situation and giving us greater fiscal control over our debt and interest.","Economic inequity is an enormous problem. I entered the race for Congress to bring a Universal Dividend to the United States to completely-end homelessness and hunger, after having worked out the fiscals in a manner which would not require a tax increase or service cuts in 2016. This is the ""replace"" part of ""Repeal and Replace the TCJA"". The Universal Dividend essentially solves Social Security's insolvency and guarantees its Retirement and Disability benefits will pay out in full, cost-of-living adjusted, forever. It does this by completely-restructuring Retirement and Disability: a new benefit with a stronger funding source pays unconditionally starting at age 18, and then Retirement and Disability fill the gap to the full total benefit. This new benefit takes 1/8 of all of the income as a FICA on both Corporate and Personal income, and pays out a flat, non-taxable benefit to every Adult twice-monthly. In 2016, this would have been $6,700. That makes people less-poor, increasing the reach of HUD and SNAP, bringing people out of homelessness and hunger. It creates additional consumer spending, which creates jobs; and those jobs appear mostly around the poorest, as they gain the largest proportional increase in income. Because of the structure, the Dividend grows faster than cost-of-living and inflation. I also suggest minimum wage pay one full-time year's wage at no less than twice the Dividend, reaching a total take-home equivalent to $15.11/hr in 2027. That, plus education and healthcare, will change the world.","Yes. We need to make a few minor adjustments to background checks and other things. I believe we must take a much-larger strategy than our current dialogue suggests. Although the greatest impact will come from criminal justice reform to help people move from crime to productivity, there are a number of policies which we must implement concerning firearms. We need accountability by the State and Local governments to ensure information reaches the NICS background check database. We must also restrict magazine size to six at most: revolvers carry six shots, and so this makes sense from an enforcement perspective. We also need to look at bullet dynamics. We're going to let people hunt and keep self-defense weapons; we must thus consider if a bullet can be sufficient to take down the appropriate animal and also have diminished effect against a human being and a crowd of human beings. Powder load and bullet shape have enormous impacts on what happens when you fire a bullet into a crowd. Rifles and handguns should not accept the same bullets. As well, we must test semi-automatic action under accelerated firing. A cheap hunting rifle can physically fire at 400-600 rounds per minute. The action should physically take at least half a second to cycle, unless completely-rebuilt in a non-trivial manner obvious on inspection. The AR-15 ban effort ignores this and will fail to prevent dangerous rapid-firing through trivial modification to readily-available firearms.","Strengthen the ACA and provide a public option to guarantee no American ever goes without access to care for even one moment. Healthcare is not affordable unless the insurance copays and out-of-pocket maximums are also affordable, and the ACA essentially only makes provision for the cost of premiums for low-grade plans. Expand the small business subsidy and pay 50% of the cost of healthcare for these businesses. If the workers have a union, extend the phase-out period for those workers. Figuring out a premium is a little complex: we don't want to reward employers for pushing you to the Public Option. Should a person have no job or be self-employed, they receive the Public Option care matched to their income level at no premium. A person with extremely-large financial assets might be measured by that instead. They may pay an additional differential to buy a higher level of coverage, if they so choose. A person with a job which does not offer healthcare receives the Public Option at no premium: their employer pays the affordable rate as a payroll tax. If the employer supplies care which is NOT affordable, then the person can pay the affordable rate, and the employer can also pay the affordable rate as a payroll tax. If the employer supplies care which IS affordable, then the person pays the usual cost, and the employer pays their usual share as a payroll tax. A great deal more is needed for healthcare.","The Universal Dividend would have driven nearly $2 billion of additional non-taxed income into the hands of Baltimore City residents in 2016. Of course this creates spending, new jobs, taxable wage revenue, taxable business revenue, and the like as well. This policy will drive the phenomena of the poor inner city into the history books in short order, in Flint, in Detroit, and in all such cities with struggling populations. HUD should help people to pay their mortgage the same as it would if they were renting under the same cost conditions. My mortgage for 15 years is under $500/month; a poor family facing $500/month rent gets a voucher, and why would we not give them that same voucher if they have the chance to purchase and own their home at the same monthly price? Federal funding for education and transit projects as well as an enormous push for criminal justice reforms such as increased parole, greater behavioral health services, dynamic security as the required base model for prisons, and other programs which humanize and care for those who interface with corrections and rehabilitate them to lead productive lives will have the greatest impact after ending homelessness and hunger.","Medical marijuana may play a role. Criminal justice reform brings behavioral health services and reduces the conflict between the population and corrections. In short: asking for help escaping addiction should lead directly to help, rather than criminal filings and felony imprisonment. These people desperately want help, and they get five days of Methodone and a year of facing the long-term withdrawal on their own. This isn't the fault of doctors and pharmacists, although we might like to ask about the manufacturers's literature pushing opioids; this is the fault of our nation not stepping in to identify, acknowledge, and correct our mistakes. We have not been there to help these people when addiction comes, and this is the result; these other factors--many of which are important in their own right--are secondary to that great responsibility of government for which we now make only excuses.","Nearly two-thirds of unauthorized immigrants are visa overstays. For complex economic reasons, these have approximately zero impact on the health of our economy and the employment market. In any case where we have no compelling reason otherwise, all student visas should automatically become work visas; and all work visas should automatically renew and grant independence to find new work. Perhaps we should transition work visas to permanent residence (""green card""). Citizenship is a bigger topic. The process is long, fraught with delays, and is in the end a personal decision. Citizenship grants access to Federal welfare programs such as Social Security, as well as voting rights and the right to run for any Federal office other than that of President of the United States. Nevertheless, a lawful immigrant waiting on Citizenship may become an unlawful immigrant in the interim; thus we must focus on permanent, independent residence as an automatic consequence of being resident and in good enough standing to stay. Sanctuary Cities can keep their immigrants. I would prefer they are housed in humane facilities and treated as human beings rather than released simply to avoid turning them over to ICE. For a suspected terrorist, Homeland Security will have to take the guest's chair: the City can claim jurisdiction to hold or parole the suspect indefinitely, rather than turn them over to a DHS facility. They will of course work with DHS in their investigation.","Free trade makes every American wealthier. Policies to protect Americans from sudden shifts in trade and technology are necessary; however, protectionism by way of shutting out trade only creates instability and poverty. Where a sudden shift in technology or trade threatens the American economy, such as by threatening many jobs, the United States must take action to slow this shift. Those whose jobs are lost in the path of progress become the responsibility of our welfare system: we must ensure their economic security and help them transition to new jobs without facing financial ruin. We must, therefor, ensure that so many keep their jobs so as to not exceed our capacity in doing so. In due time, American workers will transition. We moved from Agriculture to Manufacture; and then from Manufacture to Services, Technology, and Healthcare. That transition convinces new entrants to the workforce that these jobs are not going to be there in coming years, and tends to cause a mild labor shortage, protecting jobs as the industry winds down, and allowing it to shrink to fit by the retirement of industry veterans. ""Industries"" are things: they are a great many corporations and the things they do. They are not American enterprise, American jobs, and American standard-of-living; they are the romantic ideal of factories and farms, of computer researchers and medical technicians. People need jobs, economic security, and a high standard-of-living; people don't need a vibrant industry of elevator operators or other such specific ideals.","Yes. It is good for national and global security. It also lifts economic sanctions on Iran. Economic sanctions are a tool by which a nation increases poverty in another nation as some form of punishment or show of power. This mostly harms children and civilian workers by reducing economic stability and support, thus reducing access to food, water, energy, healthcare, and all other basic needs. In short: economic sanctions are a form of violent, devastating attack on an entire population's physical and emotional health, while the powerful retain control over national wealth and so keep themselves and their interests well-funded. The moment I learned what economic sanctions are, I projected this effect, and so classified economic sanctions as war crimes. I have since learned I am not the only person of this opinion.","Difficult. North Korea is a poverty-stricken state thanks in part to economic sanctions and a lack of economic aid. It is an unstable dictatorship as a result, and difficult to approach safely. The ideal approach is, of course, to somehow stabilize North Korea, and then help grow and develop their economy into something by which the people and the government have a vested interest in remaining stable. That leaves the great question of how exactly to make North Korea's leadership identify us as their great friend and economic partner, and so bring them to truly seek to work well with the US and UN and abandon their hostilities entirely. That is someone else's problem: I don't have the capacity to solve that one at this time, and will maintain this stance until such a time as I am for whatever reason fully qualified to address the situation. Domestic matters of economics, technology, and human rights are more of my interest.",How do you assess the Trump administration so far?,Do you support or oppose the federal tax cuts passed in 2017? What effect do you believe they will have on the economy?,"Is the level of national debt a concern? What, if anything, should be done to reduce it or constrain its increase?","Is the level of economic inequality in the United States a problem, and if so, what should the federal government do to address it?","Should federal gun laws be changed, and if so, how?","What should Congress do with respect to the Affordable Care Act? Should it be strengthened, and if so, how? Should it be scrapped? If so, what if anything should replace it?",What role should the federal government play in helping cities like Baltimore?,What can Congress do to address the opioid epidemic?,What changes if any should Congress make to our immigration and deportation laws and policies?,"Should the United States continue with the free trade policies it pursued for the last several decades, or should it enact restrictions in an attempt to help domestic industries?",Do you support the Iran nuclear deal?,How should the United States address the rise of North Korea’s nuclear program?,Trump record,2033 Tax cuts,National debt,Income inequality,Gun laws,ACA,Urban policy,Opioids,Immigration,Free trade,Iran,North Korea
,NO,Representative in Congress,7,William T. Newton,Newton,,,Republican,,http://www.newton1776.com,newton4congress,newtoncongress,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NO,Representative in Congress,2,Hubert  Owens Jr.,Owens,,,Republican,Anne Arundel County,http://www.hubertowens.com,hubertowens,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,YES,Representative in Congress,8,Utam Paul,Paul,07/04/1961,Derwood,Democratic,Montgomery County,,,,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/296249/4299807/44-b398ca5be257cb57e626e9a1debf7e37_1.jpg,Author of LEAN FORWARD - ASK ME WHEN THE FEDERAL RESERVE AND WASHINGTON DO NOT HAVE CLUE ABOUT ECONOMY.,I started my career in Public Accounting and later moved to industry. Author of LEAN FORWARD - ASK ME WHEN THE FEDERAL RESERVE AND WASHINGTON DO NOT HAVE CLUE ABOUT ECONOMY. Currently Author and Candidate for Congress.,"President Trump defeated good candidate Hillary, so Americans had high expectation on him. But he is not doing well enough.",I support tax cuts passed in 2017 but it should be more than a political painting. It will help American economy but it could have done far better.,Yes. There is too little willingness to deal with it in Washington. I can deal with it far easily if I become a President.,Yes but America should let its capitalistic foundation continue and also give opportunity to people who are lagging behind.,Yes. Gun makers and gun sellers can not be peace makers. We need to change laws and policies.,Well let us appreciate ACA's good intentions and its efforts to help Medicaid population. However ACA has repeated past mistakes. Insurance is not a health solution. I can give a better solution if I become President.,"Federal Govt's one approach may not be solution to all cities like Baltimore. So, it depends upon the situation.",Federal Govt is less involved and States are taking more responsibilities on this as of now but there should be some Federal Legislation too to take care of American people in this regard.,Tightening by comprehensive immigration reform.,Yes. It is beneficial for US to go with Free Trade Policies. But we have to save our domestic industries and workers of course.,I support it but I do have some reservations too.,We should tame it and pull out of Korean Peninsula.,How do you assess the Trump administration so far?,Do you support or oppose the federal tax cuts passed in 2017? What effect do you believe they will have on the economy?,"Is the level of national debt a concern? What, if anything, should be done to reduce it or constrain its increase?","Is the level of economic inequality in the United States a problem, and if so, what should the federal government do to address it?","Should federal gun laws be changed, and if so, how?","What should Congress do with respect to the Affordable Care Act? Should it be strengthened, and if so, how? Should it be scrapped? If so, what if anything should replace it?",What role should the federal government play in helping cities like Baltimore?,What can Congress do to address the opioid epidemic?,What changes if any should Congress make to our immigration and deportation laws and policies?,"Should the United States continue with the free trade policies it pursued for the last several decades, or should it enact restrictions in an attempt to help domestic industries?",Do you support the Iran nuclear deal?,How should the United States address the rise of North Korea’s nuclear program?,Trump record,2034 Tax cuts,National debt,Income inequality,Gun laws,ACA,Urban policy,Opioids,Immigration,Free trade,Iran,North Korea
,NO,Representative in Congress,7,Michael Pearson,Pearson,,,Republican,Baltimore City,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NO,Representative in Congress,2,Jake Pretot,Pretot,,,Democratic,Howard County,http://www.jakepretot.vote,Jake-Pretot-332237097249665/,jake_pretot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NO,Representative in Congress,5,Jacob Pulcher,Pulcher,,,Libertarian,Anne Arundel County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,YES,Representative in Congress,1,Michael Pullen,Pullen,04/25/1951,Easton,Democratic,Talbot County,http://www.pullenfor.us,pullenforus/,pullenforus,http://surveygizmoresponseuploads.s3.amazonaws.com/fileuploads/296249/4299807/179-36860cce5f64d09e1e05ff257836a52c_Mike_Headshot.jpg,Graduated with honors with BA in History from Boston College in 1973. Graduated with honors from Suffolk Law School in 1977.,"Recently retired after nearly 25 years as Talbot County Attorney. Prior to that I worked in private practice, in public defense, and as a taxi driver.","This administration is bad for our Country and bad for Democracy. It's poisoning our environment, harming workers, families, women, minorities, immigrants, seniors, students and children. It's undermining education, healthcare, Social Security, Medicare, and Medicaid. It's undermining faith in our public institutions. It's attacking reporters, the free press and squandering America's credibility and moral standing among other nations and world leaders. It's abandoning allies, befriending those who seek to harm us, and undoing strategic alliances. It has no direction. This administration lacks respect for the rule of law, the Constitution, international law, the United Nations, and the American people. The lack of empathy, knowledge, understanding, or a shared moral vision eliminates the possibility for constructive change. Corruption is rampant, unchecked, and overlooked as if it doesn't matter. Lies, deceit, disloyalty, and dysfunction pervade this administration. The only protection we have in the face of a House without a backbone is this administration's incompetence. America's strength, resilience, and determination to hold this administration to account, to protect our democracy and uphold the rule of law, however, will be made very clear in the 2018 elections.","I oppose the tax law because it takes from American working families and gives to the rich, looting the American Treasury for the benefit of the top 1%. Here's how the plan falls out: out of every $1,000 in tax giveaways, the top 1% get $830. The rest of us get roughly 17¢ each. Even that tiny fraction is subtly gobbled up by the increased costs of medical insurance that Republicans have baked into the law. After 10 years, most middle class workers will be paying more in taxes for less public services. Greed and unfairness won, plain and simple. The top 1% already have more wealth than at any time since the Gilded Age, and certainly did not need a corporate bailout that will explode the deficit by $1,500,000,000 and make our social safety net even harder to fund. The American people were told that this law would ""help working families,"" but helping working families was never the true aim of this bill. Destabilizing our federal budget and rewarding political donors was the aim. Looting the American treasury, stealing from Social Security, Medicare, and Medicaid was the aim. Allowing the Republicans to come back to Congress in five or ten years and claim that they must cut benefits because the government is surprisingly underfunded, is the aim. In those regards, the Republicans were right on target.","Yes, the national debt is a serious concern. High debt limits our ability to increase spending in an economic downturn, which increases the risks of a longer, deeper economic crisis. High debt limits our opportunities to rebuild our crumbling infrastructure, limiting the creation of good paying jobs rebuilding America. Like a business, a government cannot be run on IOU's alone. To get the debt under control, we must prioritize the funding of essentials, our military, schools, roads, and our healthcare, while seeking ways to expand our tax base to make new projects possible. Where we can cut spending, such as in the bloated and inefficient military budget (the highest in the world by far) we must. We can invest those savings in health, education, and social programs, allowing us to fund early childhood education programs, better health care, tuition-free public education for college, technical training, and skilled trade apprenticeships. We need a progressive tax code that evenly balances the costs and shares the rewards of our economy among all Americans. We must raise the minimum wage, which will increase buying power, place upward pressure on mid-level wages, and increase consumer spending in our economy, generating more tax revenue. At the core of the debt debate is the question of whether we want to burden our children with our spending today. I believe that is the wrong course of action to take, and future generations will resent us if we cannot not get our own reckless spending under control.","Economic inequality is a serious problem. The top 1% own nearly 40% of the wealth, more than the bottom 95% combined. Nearly half of all Americans can't afford a $400 emergency expense without borrowing or selling assets. The middle class is shrinking, while the costs of housing, health-care, child care, education and job training are rising. Young Americans are working two, three, or even four jobs just to keep a roof over their heads. Wages have been mostly stagnant for decades, while corporate profits are at an all time high. American working families need better pay, working conditions, and benefits. They deserve the right to organize for their mutual protection and benefit, while protected by a NLRB that has their interests at heart. They deserve to be able to make a living wage working a single full-time job. They deserve the right to be protected from unscrupulous employers who fail to protect their physical well-being, and who actively practice harassment. We can begin to address these issues today by raising the minimum wage to $15/hour, updating the NRLA for the modern economy, ensuring that today's bad actors are punished, and by extending protections against discrimination by employers for the future. We need a progressive tax system so the wealthy and large corporations pay their fair share. We need to eliminate unfair tax loopholes, the ""carried-interest"" loophole, and reinstate the Estate Tax, the Alternative Minimum Tax, so those with extreme wealth pay their fair share.","Yes, we should re-enact the federal assault weapons ban that worked successfully between 1994-2004. This law reduced random massacres in which semi-automatic weapons were to kill innocent children and other Americans. Nobody is against the 2nd Amendment, it's part of our Constitution. Hunting, sport competitions, collecting, are a big part of our heritage here on the Eastern Shore. They help our economy and are part of the many pastimes we enjoy. But there is a clear distinction between handguns, rifles, and shotguns for sport, competition, or collecting, and weapons designed for a battlefield. Bullets from an assault weapon rip through the body ""like a grenade went off inside,"" bursting arteries and organs from the intense shock wave spreading along their path. They destroy tissue, arteries and organs without even hitting them, like a cigarette boat in a narrow canal. They leave exit wounds the size of oranges, with nothing left to repair. Assault weapons are the weapon of choice for domestic terrorists intent on mass killings, and it is our duty to make it as difficult as possible to carry out these horrendous acts. To do so we should: -Ban the sale of new civilian assault weapons, bump stocks, and high capacity magazines. -Implement a mandatory background check for new firearm purchasers. -Close the ""gun show loophole"" by extending background checks to gun show purchases and limiting out-of-state purchasers. -Institute a minimum age to buy firearms.","We should move to a universal health care model like every other major country on earth. It's less expensive, simpler, and more efficient. The ACA was a good first step as it was originally enacted, but elimination of the Medicare expansion, elimination of the mandate, and the repeated Republican attacks to undermine and sabotage the ACA have hobbled it. America needs to join the rest of the industrialized world and provide universal healthcare to all citizens as a right. Universal healthcare will cost less than we're already paying. Americans pay more for healthcare than any other country in the world, but we don't use more, and our outcomes are less positive. Overall, we, the most powerful nation in the history of the world, is only 11th overall in national overall health. We're not just paying more money, we are paying in avoidable deaths, unnecessary suffering, lost income, and lost productivity. Profits and overhead for insurance companies and the cost of prescription drugs now gobble up 42¢ of every dollar we spend on healthcare. Medicare's overhead, on the other hand, is far lower, costing only 3¢ out of every dollar spent to administer. This plan will also provide patients freedom of choice by allowing doctors to decide treatments instead of insurance companies. A medicare-for-all model lets your doctor and you decide what's best for you, and that is the proposal I will champion as your Representative.","The federal government can provide necessary funding for public transit, neighborhood redevelopment and revitalization, public schools, housing, job-training, and infrastructure. Economic aid to assist the redevelopment of the Tradepoint Atlantic site and others can boost economic opportunities and jobs. Federal grant funding is key to continued health, safety, and well-being of the people of Baltimore and those who work, visit, and shop there. Community policing can help reconnect law enforcement with the citizens they serve. Federal pilot programs, training facilities, and research into best practices can help law enforcement throughout the US, but particularly in our cities and metropolitan areas. like Baltimore. Federal agencies can help by treating drug abuse as a public health problem, not a criminal justice problem. Removing marijuana from a Schedule I classification, the schedule reserved for the most dangerous drugs with no known medical purpose, would reduce criminalization of marijuana use, give patients welcome relief, and lighten the load for police, courts, and detention centers. We must also allow and direct the Centers for Disease Control to study gun violence as a public health issue. In 1996, Congress prohibited this. Since then there's been more than 600,000 gunshot victims in the US. In 2016, the American Medical Association adopted a resolution declaring gun violence a public health crisis. Getting the data, analyzing the cause, and coming up with answers to why people shoot others, or themselves, and what can be done to prevent gun violence, would help America and Baltimore.","Seven Americans die every hour from opioid overdose. Children lose parents, parents lose children, families are broken, and communities are left to struggle with the long term ramifications of this public health crisis. America needs prevention, intervention, and rehabilitation. Congress can help with all three. Congress should enact legislation: -that treats drug addiction as a public health issue, not a criminal justice issue, -to halt the over-prescription of opioids and specifically target opioid mills --For example, over the past 10 years, drug companies shipped 20.8 million prescription painkillers to two pharmacies four blocks apart in a Southern West Virginia town with 2,900 people. Congress curtailed the DEA's authority to work these cases in 2016. Congress can reauthorize the DEA's authority to monitor and intercept suspicious flooding of opioids into communities, -to authorize and fund research into the use of medical marijuana to treat pain, and -to establish best practices and provide funding to educate first responders about coordination and follow-up after treating an addict to improve the hand-off to rehabilitation, increase the number and availability of methadone clinics, and identify, coordinate, and duplicate rehabilitation programs that work. Until we realize that we cannot jail our way out of this public health crisis, I fear our response will continue to not be as effective as necessary to get this problem within control.","We have a duty to support immigrant families in our communities. Our nation was built on the hard work of immigrants from around the world. By trying to prevent further immigration, this Administration fails to realize they are changing the nature of America, not protecting it. Without immigration over the last two centuries America would not have become the nation we are today. Immigration has always been a key to our national growth, and to undermine our potential based on xenophobia or fear is bad policy. We must address DACA in the short term, and the long-term issue of undocumented migration. The DACA crisis has been self-created by the Trump Administration and Congress must honor our promise to these dreamers. Our nation is stronger and better because they are here. They need a path to citizenship. Congress must also create a path to citizenship for the millions of undocumented workers who didn't qualify for DACA. Immigrants and the diversity they bring are a great strength, and they make the US what it is. We are all immigrants. To begin mass arrests and deportations is not only inhumane, it also harms our economy. Instead, we should create a pathway to citizenship to allow these individuals to come out of the shadows and pursue the American dream. From among our immigrants and their children, we'll see the next great inventor, or poet, or entrepreneur, but we'll never know until we welcome them into our civic life with open arms.","I support a trade policy that helps American workers and America's working families. Our trade policies should focus on them and their interests, not international corporations. This means supporting trade policies that foster opportunities to sell American products on the international market and to invite foreign investment in American-made products. This means opposing trade deals that drive down American wages by allowing foreign corporations to sell products manufactured by exploiting workers, paying starvation wages, and suppressing the labor market to keep their prices low. We must defend the intellectual property of our entrepreneurs so that American workers producing innovative goods can be rewarded for the hard work that goes into developing and manufacturing a new product.","I support the Iran nuclear deal. This agreement has broad international support and represents a joint effort to maintain the peace and protect international security. There is no reason to reject this Agreement. The international community, with experts from around the world, agrees that it is being honored by the Iranians. The Trump administration has offered no evidence of any violation. It's unacceptable to simply disavow a working Agreement because a new administration assumes power. The Agreement is working and effectively prevents the Iranians from gaining nuclear weapons. If there's real evidence to show otherwise, we can de-certify the Agreement at that point. Until then, if ever, we should uphold our end of the deal and continue to certify compliance. This agreement has widespread international support, and any withdrawal must be done based on an international consensus, after consultation with our allies, and in conjunction with similar actions by our allies. We should learn from the coordinated international response to the recent assassination attempt in the UK by Russian operatives. In a matter of days, the international community rallied to eject over 150 Russian intelligence operatives, dealing a blow to the Kremlin that will take years to repair. That is how international diplomacy can be used to deter and punish bad actors.","The US should continue to work with the international community to sanction the Kim regime, forcing them into negotiations, and should then rely on international collaboration, as well as our own experts, to fashion a workable agreement. We've already done something similar with Iran and we can do the same with North Korea. Military action against North Korea in the name of eliminating its nuclear weapons program would result in another war with catastrophic loss of live and destruction. The people of South Korea would be hit with millions of artillery shells and our allies in Japan would face a barrage of missiles. We could expect huge American casualties even without the destruction inflicted if North Korea actually used the nuclear weapons it has been developing. The predictable losses, and the risks of any military conflict spiraling out of control, are simply too great to justify military action at this point. Sanctions, however, require Chinese participation to be successful, and the Trump administration's short-sighted trade feud with China threatens our ability to gain their support. Instead, our countries should focus on the issues we can all agree on, that a Korean war would be an unmitigated disaster. A conflict on the Korean Peninsula would send millions of North Korean refugees into China, destabilizing the Chinese labor market and creating a humanitarian disaster in China, a situation the Chinese fear. International cooperation is the only way out of this predicament.",How do you assess the Trump administration so far?,Do you support or oppose the federal tax cuts passed in 2017? What effect do you believe they will have on the economy?,"Is the level of national debt a concern? What, if anything, should be done to reduce it or constrain its increase?","Is the level of economic inequality in the United States a problem, and if so, what should the federal government do to address it?","Should federal gun laws be changed, and if so, how?","What should Congress do with respect to the Affordable Care Act? Should it be strengthened, and if so, how? Should it be scrapped? If so, what if anything should replace it?",What role should the federal government play in helping cities like Baltimore?,What can Congress do to address the opioid epidemic?,What changes if any should Congress make to our immigration and deportation laws and policies?,"Should the United States continue with the free trade policies it pursued for the last several decades, or should it enact restrictions in an attempt to help domestic industries?",Do you support the Iran nuclear deal?,How should the United States address the rise of North Korea’s nuclear program?,Trump record,2035 Tax cuts,National debt,Income inequality,Gun laws,ACA,Urban policy,Opioids,Immigration,Free trade,Iran,North Korea
,NO,Representative in Congress,8,Jamie Raskin,Raskin,,,Democratic,Montgomery County,http://www.jamieraskin.com,raskin.jamie/,jamie_raskin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NO,Representative in Congress,3,John Rea,Rea,,,Democratic,Anne Arundel County,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NO,Representative in Congress,5,Johnny Rice,Rice,,,Republican,Prince George's County,,johnnyriceforcongress/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
